PLATAFORMA,TIPO,ESTADO,VENDEDOR,DIRECCIÓN,BARRIO/ZONA,Mts2 total,Mts2 Cubiertos,AMBIENTES,HABITACIONES,BAÑOS,PRECIO(u$d)
argenprop,departamento,0.0,Estudio Yacoub,Saavedra E/ Azcoaga Y José Valdez,Barrio Norte,95.0,60.0,3.0,2.0,1.0,45000.0
argenprop,casa,53.0,Remax Tendencia,Edison 1100,Barrio Centro 2,252.0,149.0,4.0,2.0,1.0,63000.0
argenprop,casa,35.0,Remax Tendencia,Leoncio De La Barrera 1300,San José Obrero,272.0,81.0,6.0,2.0,1.0,36000.0
argenprop,departamento,11.0,Remax Tendencia,Piacenza 55,Barrio Norte,48.0,48.0,2.0,1.0,1.0,30000.0
argenprop,casa,36.0,Remax Tendencia,España 2000,Barrio Norte,204.0,128.0,4.0,3.0,1.0,
argenprop,casa,35.0,Remax Tendencia,San Luis 84,Provincias Unidas,240.0,160.0,5.0,3.0,1.0,83000.0
argenprop,casa,59.0,Remax Tendencia,Almafuerte 1800,Barrio Norte,357.0,68.0,3.0,1.0,1.0,
argenprop,departamento,6.0,Remax Tendencia,Mitre 700,Barrio Centro 1,67.0,67.0,3.0,2.0,1.0,65000.0
argenprop,casa,40.0,Remax Tendencia,Rivadavia 900,Barrio Centro 2,211.0,172.0,3.0,2.0,1.0,
argenprop,departamento,8.0,Remax Tendencia,Almafuerte 1600,Barrio Norte,49.0,49.0,2.0,1.0,1.0,
argenprop,departamento,43.0,Remax Tendencia,Mitre 600,Barrio Centro 1,71.0,71.0,3.0,2.0,1.0,
argenprop,casa,23.0,Remax Tendencia,San Lorenzo 158,Barrio Centro 3,648.0,218.0,4.0,3.0,3.0,162000.0
argenprop,casa,11.0,Remax Tendencia,Saenz Peña 800,Barrio Norte,369.0,178.0,8.0,3.0,2.0,
argenprop,casa,15.0,Remax Tendencia,Avenida Presidente Juan Domingo Perón 1100,Tiro Federal,525.0,246.0,8.0,4.0,2.0,
argenprop,casa,34.0,Remax Tendencia,Liniers 700,San Cayetano,625.0,405.0,9.0,3.0,2.0,280000.0
argenprop,casa,70.0,Remax Tendencia,San Lorenzo 115,Barrio Centro 3,150.0,102.0,3.0,2.0,2.0,
argenprop,departamento,24.0,Remax Tendencia,Chacabuco 1400,Barrio Centro 2,69.0,69.0,3.0,2.0,1.0,45000.0
argenprop,casa,28.0,Remax Tendencia,Maipu 160,Barrio Centro 1,606.0,306.0,8.0,3.0,4.0,
argenprop,casa,19.0,Remax Tendencia,López 1628,Barrio Centro 2,234.0,132.0,6.0,3.0,2.0,130000.0
argenprop,casa,43.0,Remax Tendencia,Castelli 391,Barrio Centro 1,276.0,165.0,4.0,3.0,2.0,148000.0
argenprop,casa,13.0,Remax Tendencia,Libertad 1200,Ciudad Nueva,522.0,226.0,4.0,2.0,2.0,
argenprop,casa,,Spitteler,Sarmiento 300,Barrio Centro 3,350.0,,,,,80000.0
argenprop,departamento,30.0,Remax Tendencia,Belgrano 1,Barrio Centro 1,74.0,74.0,4.0,3.0,1.0,75000.0
argenprop,casa,28.0,Remax Tendencia,Saavedra 800,Barrio Centro 1,755.0,227.0,8.0,4.0,3.0,
argenprop,casa quinta,,Remax Tendencia,Los Mistos 1150,Los Robles,1350.0,122.0,,2.0,1.0,
argenprop,casa,22.0,Remax Tendencia,Huhn 183,Malvinas Argentinas,225.0,137.0,4.0,2.0,2.0,43000.0
argenprop,casa,10.0,Remax Tendencia,H. Strenitz 1378,Ciudad Nueva,300.0,50.0,3.0,2.0,1.0,
argenprop,casa,19.0,Remax Tendencia,Rivadavia 1474,Bernardino Rivadavia,268.0,210.0,4.0,3.0,2.0,110000.0
argenprop,casa,15.0,Remax Tendencia,Pringles 75,General Belgrano,300.0,131.0,4.0,3.0,3.0,
argenprop,galpón,31.0,Remax Tendencia,Ruta 8 2500,Los Pinos,180.0,180.0,,,,68000.0
argenprop,galpón,49.0,Remax Tendencia,French 100,Bernardino Rivadavia,100.0,100.0,,,,83000.0
argenprop,departamento,2.0,Remax Tendencia,Maipu 342,Barrio Centro 1,52.0,52.0,2.0,1.0,1.0,105000.0
argenprop,departamento,2.0,Remax Tendencia,Maipu 342,Barrio Centro 1,100.0,100.0,3.0,2.0,2.0,
argenprop,departamento,2.0,Remax Tendencia,Maipu 342,Barrio Centro 1,82.0,82.0,3.0,2.0,2.0,
argenprop,casa,29.0,Remax Tendencia,Mitre 34,Barrio Centro 1,200.0,182.0,4.0,3.0,1.0,105000.0
argenprop,departamento,0.0,Remax Tendencia,Güemes 832,M.M De Guemes,,45.0,1.0,,1.0,
argenprop,casa,21.0,Remax Tendencia,Almafuerte 100,Barrio Centro 1,148.0,123.0,5.0,3.0,2.0,45000.0
argenprop,casa,0.0,Remax Tendencia,Chacabuco 322,Barrio Centro 1,210.0,155.0,3.0,2.0,1.0,
argenprop,departamento,10.0,Remax Tendencia,Formosa 400,M.M De Guemes,38.0,38.0,3.0,1.0,1.0,36000.0
argenprop,casa,29.0,Remax Tendencia,Guemes 100,General Belgrano,234.0,132.0,4.0,4.0,2.0,
argenprop,departamento,11.0,Remax Tendencia,Castelli 319,Barrio Centro 1,90.0,90.0,3.0,2.0,1.0,95000.0
argenprop,departamento,8.0,Remax Tendencia,Belgrano 1,Barrio Centro 1,54.0,54.0,2.0,1.0,1.0,52000.0
argenprop,casa quinta,,Remax Tendencia,Doctor Esteban Maradona 1500,,2620.0,,,3.0,1.0,
argenprop,casa,38.0,Remax Tendencia,Libertad 675,Ciudad Nueva,225.0,104.0,3.0,2.0,1.0,45000.0
